time	V(n001)
4.199991000000000e-01	-2.700000e+00
4.199993000000000e-01	-2.100000e+00
4.199997000000000e-01	-9.000000e-01
4.200000000000000e-01	0.000000e+00
4.299900000000000e-01	0.000000e+00
4.299901000000000e-01	-3.000000e-01
4.299903000000000e-01	-9.000000e-01
4.299907000000000e-01	-2.100000e+00
4.299910000000000e-01	-3.000000e+00
4.299912399999999e-01	-3.000000e+00
4.299915599999999e-01	-3.000000e+00
4.299921999999999e-01	-3.000000e+00
4.299934799999999e-01	-3.000000e+00
4.299960399999999e-01	-3.000000e+00
4.299990000000000e-01	-3.000000e+00
4.299991000000000e-01	-2.700000e+00
4.299993000000000e-01	-2.100000e+00
4.299997000000000e-01	-9.000000e-01
4.300000000000000e-01	0.000000e+00
4.399900000000000e-01	0.000000e+00
4.399901000000000e-01	-3.000000e-01
4.399903000000000e-01	-9.000000e-01
